# 1. Visits - Les visites
matinee, matinée
movie theater, cinéma
cast (n/vb), acteurs/choisir un acteur
director, réalisateur
plot, intrigue
character, personnage
theater, théâtre
play, pièce de théâtre
intermission, entracte
showing, projection
exhibition, exposition
opening, ouverture/vernissage
work of art, oeuvre d'art
painting, tableau
sculptor, sculpteur
review (n/vb), critique/faire la critique
critic, critique(la personne)
sequel, suite
star (vb), être à l'affiche
shoot (vb), tourner
banned,interdit
auction, vente aux enchères

# 2. Other health professionnals - Les autres professionnels de la santé
optician, opticien
eyesight, vue
eyestrain, fatigue visuelle
frame, monture
lenses, verres/lentilles
eyeglasses, lunettes
dentist, dentiste
drill, fraise
cavity, carie
tooth decay (indénombrable), carie
dental hygienist, assistant dentaire
medical practitioner, practicien
physical therapy, kinésithérapie
surgeon, chirurgien
operating theater, bloc opératoire
emergency services, services d'urgence
dietician, diététicien(ne)
researcher, chercheur(-euse)
advise (vb), conseiller
refer to (vb), envoyer vers un spécialiste
emitted, émis
spectacles, lunettes
peak-hour, heure de pointe
suit, aller à
upcoming, imminent
sound, bruit
background, de fond
wisdom teeth, dents de sagesse
thoroughly, minutieusement

#3. At the pharmacy - A la pharmacie
drugstore, pharmacie
Over The Counter (OTC), en vente libre
side effects, effets secondaires
leaflet, notice
dosage, posologie
shelf/shelves, étagère(s)
interaction, interaction
breakthrough, découverte capitale
empty stomach, le ventre vide
warning, avertissement
treatment, traitement
harmful, nuisible
potent, puissant
convenient, pratique
swollen, enflé
closely, de près
fill a prescription (vb), aller chercher/délivrer une ordonnance
relieve (vb), soulager
treat (vb), soigner
apply(vb), appliquer
local, de quartier
pain, douleur
avoid, éviter
heartbrun, brulures d'estomac
tablet, comprimé
ankle, cheville
common cold, rhume
elbow, coude

#4.Healthy living - Le bien être
stamina, endurance
well-being, bien-être
daily (adj), quotidien
ramp, rampe
accommodations, aménagements/adaptations
junk food, malbouffe
balanced diet, alimentation équilibrée
team sport, sport d'équipe
special diet, régime spécifique
absenteeism, absentéisme
health hazard, risque pour la santé
occupational health doctor, médecin du travail
counseling, psychothérapie
resilient, résistance/résilient
-impaired, degradé/mal(-entendant/voyant)
healthful, sain (bon pour la santé)
healthy, en bonne santé/ bon pour la santé
nutritious, nutritif
ergonomic, ergonomique
keep fit (vb), garder la forme
witness, être le témoin de
robbery, cambriolage
undergo, subir
wheelchair, fauteuil roulant
entitled to, qui a droit à
cope, s'en sortir
ointment, pommade (MOT FLECHE)
